country,year,category,count
Czechia,2020,Other,4142
Czechia,2021,Asylum/Protection,260
Czechia,2021,Education,12777
Czechia,2021,Employment,41592
Czechia,2021,Family,16535
Czechia,2021,Other,3491
Czechia,2022,Asylum/Protection,325
Czechia,2022,Education,10128
Czechia,2022,Employment,24592
Czechia,2022,Family,14250
Czechia,2022,Other,4839
Czechia,2023,Asylum/Protection,335
Czechia,2023,Education,9764
Czechia,2023,Employment,13688
Czechia,2023,Family,12492
Czechia,2023,Other,7848
Czechia,2024,Asylum/Protection,160
Czechia,2024,Education,9596
Czechia,2024,Employment,16325
Czechia,2024,Family,12417
Czechia,2024,Other,7098
Denmark,2014,Asylum/Protection,5480
Denmark,2014,Education,8096
Denmark,2014,Employment,10954
Denmark,2014,Family,10339
Denmark,2014,Other,6492
Denmark,2015,Asylum/Protection,9995
Denmark,2015,Education,9242
Denmark,2015,Employment,9706
Denmark,2015,Family,15961
Denmark,2015,Other,11238
Denmark,2016,Asylum/Protection,7125
Denmark,2016,Education,10446
Denmark,2016,Employment,10208
Denmark,2016,Family,12883
Denmark,2016,Other,7868
Denmark,2017,Asylum/Protection,2365
Denmark,2017,Education,10649
Denmark,2017,Employment,10347
Denmark,2017,Family,12601
Denmark,2017,Other,3494
Denmark,2018,Asylum/Protection,1315
Denmark,2018,Education,10954
Denmark,2018,Employment,11220
Denmark,2018,Family,10755
Denmark,2018,Other,2372
Denmark,2019,Asylum/Protection,1575
Denmark,2019,Education,12353
Denmark,2019,Employment,11465
Denmark,2019,Family,8882
Denmark,2019,Other,2337
Denmark,2020,Asylum/Protection,420
Denmark,2020,Education,6184
Denmark,2020,Employment,8350
Denmark,2020,Family,8053
Denmark,2020,Other,1266
Denmark,2021,Asylum/Protection,775
Denmark,2021,Education,5587
Denmark,2021,Employment,11367
Denmark,2021,Family,8826
Denmark,2021,Other,2369
Denmark,2022,Asylum/Protection,515
Denmark,2022,Education,10932
Denmark,2022,Employment,14801
Denmark,2022,Family,11236
Denmark,2022,Other,3498
Denmark,2023,Asylum/Protection,990
Denmark,2023,Education,13049
Denmark,2023,Employment,13935
Denmark,2023,Family,12146
Denmark,2023,Other,3675
Denmark,2024,Asylum/Protection,715
Denmark,2024,Education,14605
Denmark,2024,Employment,15220
